Town,Founded,Formed from,County,"Pop.
(2020)","Land
(sq mi)","Water
(sq mi)",Coordinates,"GEO ID
(FIPS code)","ANSI code
(GNIS ID)"
Cherry Creek,1829,Ellington,Chautauqua,"1,037",36.632,0.013,"42.302111, -79.122244",3601315198,978820
Cherry Valley,1791,Canajoharie,Otsego,"1,229",40.375,0.007,"42.808922, -74.722042",3607715253,978821
Chester,1845,"Blooming Grove, Goshen, Monroe and Warwick",Orange,"12,646",25.049,0.151,"41.330239, -74.276925",3607115308,978822
Chester,1799,Thurman,Warren,"3,086",84.190,2.860,"43.689036, -73.873783",3611315319,978823
Chesterfield,1802,Willsboro,Essex,"2,476",79.036,26.336,"44.453432, -73.448719",3603115330,978824
Chili,1822,Riga,Monroe,"29,123",39.499,0.369,"43.085609, -77.745242",3605515462,978825
Cicero,1807,Lysander,Onondaga,"31,435",48.274,0.191,"43.172142, -76.056249",3606715704,978826
Cincinnatus,1804,Solon,Cortland,902,25.356,0.129,"42.530670, -75.913769",3602315748,978827
Clare,1880,Pierrepont,St. Lawrence,100,96.557,0.698,"44.356596, -75.013141",3608915792,978828
Clarence,1808,Willink,Erie,"32,950",53.503,0.132,"43.024707, -78.645674",3602915825,978829
Clarendon,1820,Sweden,Orleans,"3,315",35.219,0.000,"43.174402, -78.056338",3607315880,978830
Clarkson,1819,Murray,Monroe,"6,904",33.183,0.005,"43.245062, -77.932451",3605515957,978831
Clarkstown,1791,Haverstraw,Rockland,"86,855",38.475,8.593,"41.134184, -73.965733",3608715968,978832
Clarksville,1835,Cuba,Allegany,976,36.276,0.020,"42.140145, -78.247654",3600315990,978833
Claverack,1788,Claverack District,Columbia,"6,058",47.559,0.390,"42.218852, -73.689931",3602116045,978834
Clay,1827,Cicero,Onondaga,"60,527",47.958,0.901,"43.178698, -76.192114",3606716067,978835
Clayton,1833,Lyme and Orleans,Jefferson,"4,770",82.360,21.671,"44.204326, -76.079717",3604516100,978836
Clermont,1788,Manor of Livingston District,Columbia,"2,058",17.996,1.197,"42.085945, -73.854682",3602116177,978837
Clifton,1868,Pierrepont,St. Lawrence,675,134.361,15.985,"44.201398, -74.885750",3608916287,978838
Clifton Park,1828,Halfmoon,Saratoga,"38,029",48.202,2.004,"42.858993, -73.822974",3609116353,978839
Clinton,1845,Ellenburg,Clinton,652,67.070,0.030,"44.937659, -73.920213",3601916397,978840
Clinton,1788,Clinton Precinct and Rhinebeck Precinct,Dutchess,"4,037",38.143,0.642,"41.864288, -73.819584",3602716408,978841
Clymer,1821,Chautauqua,Chautauqua,"1,753",36.070,0.093,"42.049004, -79.582437",3601316595,978842
Cobleskill,1797,Schoharie,Schoharie,"6,086",30.599,0.179,"42.687506, -74.442157",3609516639,978843
Cochecton,1828,Bethel,Sullivan,"1,448",36.241,0.790,"41.680039, -74.994190",3610516661,978844
Coeymans,1791,Watervliet,Albany,"7,256",50.129,3.038,"42.491282, -73.875102",3600116694,978845
Cohocton,1812,Bath and Dansville,Steuben,"2,269",56.083,0.007,"42.519967, -77.481566",3610116738,978846
Colchester,1792,Middletown,Delaware,"1,782",136.778,5.398,"42.039868, -74.953334",3602516793,978848
Colden,1827,Holland,Erie,"3,121",35.633,0.089,"42.648107, -78.646394",3602916870,978849
Coldspring,1837,Napoli,Cattaraugus,658,51.464,0.554,"42.055681, -78.844478",3600916903,978850
Colesville,1821,Windsor,Broome,"4,868",78.347,0.824,"42.179510, -75.650430",3600717046,978851
Collins,1821,Concord,Erie,"5,894",47.966,0.174,"42.491800, -78.868516",3602917200,978852
Colonie,1895,Watervliet,Albany,"85,590",55.943,1.900,"42.743332, -73.785600",3600117343,978853
Colton,1843,Parishville,St. Lawrence,"1,530",241.702,13.252,"44.368068, -74.814597",3608917409,978854
Columbia,1812,Warren,Herkimer,"1,569",35.073,0.030,"42.929047, -75.046258",3604317431,978855
Columbus,1805,Brookfield,Chenango,898,37.368,0.124,"42.691555, -75.369681",3601717486,978856
Concord,1812,Willink,Erie,"8,316",69.934,0.160,"42.545428, -78.702888",3602917585,978857
Conesus,1819,Groveland and Livonia,Livingston,"2,320",32.891,2.980,"42.703498, -77.641047",3605117618,978858
Conesville,1836,Broome and Durham,Schoharie,687,39.466,0.404,"42.398075, -74.338293",3609517651,978859
Conewango,1823,Little Valley,Cattaraugus,"1,785",36.114,0.022,"42.225426, -79.006508",3600917684,978860
Conklin,1824,Chenango,Broome,"5,008",24.385,0.504,"42.040720, -75.835038",3600717772,978861
Conquest,1821,Cato,Cayuga,"1,791",35.222,1.096,"43.117487, -76.656916",3601117849,978862
Constable,1807,Malone,Franklin,"1,486",32.806,0.012,"44.967307, -74.280786",3603317871,978863
Constantia,1808,Mexico,Oswego,"4,778",56.765,42.915,"43.258840, -75.963734",3607517904,978864
Copake,1824,Taghkanic,Columbia,"3,346",40.762,1.280,"42.129680, -73.549044",3602118102,978865
Corinth,1818,Edinburgh,Saratoga,"6,500",56.763,1.372,"43.228513, -73.922216",3609118223,978866
Corning,1796,,Steuben,"5,983",36.850,0.503,"42.149331, -77.014205",3610118267,978868
Cornwall,1788,Cornwall Precinct,Orange,"12,884",26.653,1.479,"41.414179, -74.061304",3607118300,978869
Cortlandt,1788,,Westchester,"42,545",39.255,10.761,"41.261089, -73.902332",3611918410,978871
Cortlandville,1829,Homer,Cortland,"8,409",49.720,0.180,"42.603488, -76.117640",3602318421,978872
Coventry,1806,Greene,Chenango,"1,516",48.697,0.167,"42.291156, -75.629129",3601718619,978873
Covert,1817,Ovid,Seneca,"2,163",31.385,6.195,"42.584405, -76.696609",3609918663,978874
Covington,1817,Le Roy and Perry,Wyoming,"1,253",26.138,0.000,"42.832671, -78.014813",3612118696,978875
Coxsackie,1788,Coxsackie District,Greene,"8,382",36.865,1.548,"42.345680, -73.863305",3603918729,978876
Crawford,1823,Montgomery,Orange,"9,130",40.031,0.084,"41.571349, -74.315687",3607118916,978877
Croghan,1841,Diana and Watson,Lewis,"3,197",179.182,2.849,"43.969084, -75.355598",3604919081,978878
Crown Point,1788,Crown Point township,Essex,"2,042",76.121,5.724,"43.963848, -73.583301",3603119246,978879
Cuba,1822,Friendship,Allegany,"3,126",35.129,0.763,"42.208385, -78.243639",3600319367,978880
Cuyler,1858,Truxton,Cortland,908,43.477,0.032,"42.726333, -75.936250",3602319499,978881
Danby,1811,Spencer,Tompkins,"3,421",53.553,0.222,"42.332395, -76.472452",3610919620,978882
Dannemora,1854,Beekmantown,Clinton,"4,037",59.080,6.759,"44.747379, -73.812971",3601919653,978883
Dansville,1796,,Steuben,"1,835",48.368,0.068,"42.464632, -77.661656",3610119675,978884
Danube,1817,Minden,Herkimer,953,29.354,0.259,"42.981082, -74.798257",3604319686,978885
Darien,1832,Pembroke,Genesee,"3,010",47.371,0.219,"42.908718, -78.382071",3603719719,978886
Davenport,1817,Kortright and Meredith,Delaware,"2,955",51.563,0.350,"42.454193, -74.902857",3602519763,978887
Day,1819,Edinburg and Hadley,Saratoga,819,64.112,5.420,"43.321068, -74.027621",3609119807,978888
Dayton,1835,Perrysburg,Cattaraugus,"1,690",35.527,0.618,"42.376833, -78.995439",3600919840,978889
De Kalb,1806,Oswegatchie,St. Lawrence,"2,375",82.523,0.684,"44.475880, -75.365448",3608920038,978893
De Peyster,1825,DeKalb and Oswegatchie,St. Lawrence,"1,023",42.927,2.169,"44.535363, -75.458682",3608920335,978898
DeRuyter,1798,Cazenovia,Madison,"1,276",30.440,0.833,"42.769678, -75.847084",3605320401,978900
DeWitt (De Witt),1835,Manlius,Onondaga,"26,074",33.774,0.092,"43.053891, -76.071795",3606720478,978901
Decatur,1808,Worcester,Otsego,374,20.562,0.197,"42.657096, -74.705713",3607719895,978890
Deerfield,1798,Schuyler,Oneida,"3,983",32.941,0.107,"43.185088, -75.151134",3606519928,978891
Deerpark,1798,Mamakating,Orange,"7,509",66.502,1.452,"41.442383, -74.656826",3607119961,978892
Delaware,1869,Cochecton,Sullivan,"2,203",34.941,0.703,"41.754935, -75.000363",3610520104,978894
Delhi,1798,"Kortright, Middletown and Walton",Delaware,"4,795",64.198,0.401,"42.272354, -74.907546",3602520137,978895
Denmark,1807,Harrisburg,Lewis,"2,626",50.602,0.446,"43.898222, -75.631239",3604920214,978896
Denning,1849,Shandaken,Ulster,493,105.666,0.099,"41.955487, -74.482306",3611120247,978897
Deposit,1880,Tompkins,Delaware,"1,427",43.015,1.564,"42.095846, -75.369813",3602520357,978899
Diana,1830,Watson,Lewis,"1,610",137.094,3.738,"44.108159, -75.372574",3604920555,978902
Dickinson,1890,Binghamton,Broome,5100,4.772,0.105,"42.130568, -75.918054",3600720588,978903
Dickinson,1809,Malone,Franklin,965,44.224,0.089,"44.728144, -74.539700",3603320610,978904
Dix,1835,Catlin,Schuyler,"3,757",36.258,0.454,"42.334430, -76.899210",3609720676,978905
Dover,1807,Pawling,Dutchess,"8,415",55.190,1.149,"41.679141, -73.568762",3602720819,978906
Dresden,1822,Fort Ann,Washington,537,52.254,2.745,"43.590870, -73.468547",3611520885,978907
Dryden,1803,Ulysses,Tompkins,"13,905",93.640,0.690,"42.478745, -76.362347",3610920962,978908
Duane,1828,Malone,Franklin,180,74.952,3.032,"44.600715, -74.232730",3603320973,978909
Duanesburg,1789,Schoharie,Schenectady,"5,863",70.782,1.250,"42.777998, -74.172702",3609321006,978910
Dunkirk,1859,Pomfret,Chautauqua,"1,240",6.228,0.054,"42.469490, -79.320099",3601321116,978912
Durham,1790,Coxsackie,Greene,"2,627",49.314,0.041,"42.373601, -74.153148",3603921204,978913
Eagle,1817,Arcade,Wyoming,"1,105",36.283,0.187,"42.564549, -78.254056",3612121369,978914
East Bloomfield,1789,,Ontario,"3,640",33.195,0.139,"42.899446, -77.422374",3606921699,978915
East Fishkill,1849,Fishkill,Dutchess,"29,707",56.503,0.883,"41.561643, -73.787605",3602721996,978917
East Greenbush,1855,Greenbush,Rensselaer,"16,748",24.020,0.274,"42.605098, -73.700320",3608322117,978918
East Hampton,1788,East Hampton Patent,Suffolk,"28,385",74.328,312.224,"41.092293, -72.105673",3610322194,978919
East Otto,1854,Otto,Cattaraugus,974,40.070,0.326,"42.408377, -78.743584",3600922678,978921
East Rochester,1981,"Penfield, Perinton and Pittsford",Monroe,"6,334",1.325,0.004,"43.112210, -77.487176",3605522870,978922
Eastchester,1788,,Westchester,"34,641",4.853,0.088,"40.953067, -73.813316",3611921820,978916
Easton,1789,Saratoga and Stillwater,Washington,"2,279",62.304,0.934,"43.029661, -73.535868",3611522656,978920
Eaton,1807,Hamilton,Madison,"4,284",44.622,0.949,"42.890200, -75.630077",3605323305,978923
Eden,1812,Willink,Erie,"7,573",39.790,0.069,"42.655012, -78.880010",3602923415,978924
Edinburg,1801,Providence,Saratoga,"1,333",60.169,6.925,"43.223115, -74.069902",3609123591,978925
Edmeston,1808,Burlington,Otsego,"1,907",44.297,0.084,"42.722913, -75.260270",3607723613,978926
Edwards,1827,Fowler,St. Lawrence,"1,015",50.471,0.831,"44.286726, -75.280789",3608923646,978927
Elba,1820,Batavia,Genesee,"2,164",35.649,0.043,"43.093340, -78.171240",3603723756,978928
Elbridge,1829,Camillus,Onondaga,"5,476",37.539,0.756,"43.052639, -76.437331",3606723800,978929
Elizabethtown,1798,Crown Point,Essex,"1,203",81.633,1.477,"44.191221, -73.650223",3603123833,978930
Ellenburg,1830,Mooers,Clinton,"1,842",106.567,0.890,"44.811802, -73.864913",3601923921,978931
Ellery,1821,Chautauqua,Chautauqua,"4,122",47.454,0.117,"42.189926, -79.353553",3601323976,978932
Ellicott,1812,Pomfret,Chautauqua,"8,768",30.449,0.024,"42.133033, -79.231506",3601323998,978933
Ellicottville,1820,Ischua,Cattaraugus,"1,315",45.095,0.093,"42.307754, -78.643656",3600924031,978934
Ellington,1824,Gerry,Chautauqua,"1,497",36.545,0.014,"42.220261, -79.120588",3601324053,978935
Ellisburg,1803,Mexico,Jefferson,"3,352",85.146,1.419,"43.747325, -76.113151",3604524086,978936
Elma,1857,Aurora and Lancaster,Erie,"11,721",34.517,0.011,"42.828313, -78.647604",3602924130,978937
Elmira,1792,Chemung,Chemung,"6,848",22.212,0.329,"42.090471, -76.775621",3601524240,978939
Enfield,1821,Ulysses,Tompkins,"3,362",36.732,0.104,"42.441736, -76.620542",3610924548,978940
Ephratah,1827,Palatine,Fulton,"1,677",39.170,0.277,"43.037432, -74.561468",3603524603,978941
Erin,1822,Chemung,Chemung,"1,806",44.247,0.221,"42.184078, -76.671706",3601524636,978942
Erwin,1826,Painted Post,Steuben,"8,095",38.656,0.501,"42.134822, -77.152700",3610124647,978943
Esopus,1811,Kingston,Ulster,"9,548",37.312,4.628,"41.833329, -73.985378",3611124691,978944
Esperance,1846,Schoharie,Schoharie,"1,806",19.666,0.371,"42.751864, -74.316177",3609524724,978945
Essex,1805,Willsboro,Essex,621,31.631,5.969,"44.280005, -73.397080",3603124768,978946
Evans,1821,Eden,Erie,"15,308",41.530,0.032,"42.654716, -79.004985",3602924801,978947
Exeter,1799,Richfield,Otsego,845,32.078,0.615,"42.798940, -75.077522",3607724845,978948
Fabius,1798,Pompey,Onondaga,"2,006",46.497,0.275,"42.819749, -75.985163",3606724878,978949
Fairfield,1796,Norway,Herkimer,"1,475",41.296,0.162,"43.131120, -74.937983",3604324933,978950
Fallsburg,1826,Neversink and Thompson,Sullivan,"14,192",77.622,1.488,"41.736992, -74.603756",3610525241,978951
Farmersville,1821,Ischua,Cattaraugus,"1,073",47.833,0.138,"42.384220, -78.405914",3600925340,978952
Farmington,1789,,Ontario,"14,170",39.430,0.000,"42.989455, -77.308679",3606925406,978953
Fayette,1800,Romulus,Seneca,"3,657",54.819,11.583,"42.842874, -76.858550",3609925505,978954
Fenner,1823,Cazenovia and Smithfield,Madison,"1,668",31.074,0.048,"42.974926, -75.773344",3605325593,978955
Fenton,1855,Chenango,Broome,"6,429",32.773,0.592,"42.201492, -75.803310",3600725604,978956
Fine,1849,Pierrepont and Russell,St. Lawrence,"1,304",166.799,2.618,"44.154272, -75.085765",3608925791,978957
Fishkill,1788,Rombout Precinct,Dutchess,"24,226",27.336,4.655,"41.515512, -73.923762",3602725978,978958
Fleming,1823,Aurelius,Cayuga,"2,477",21.819,2.480,"42.874450, -76.577616",3601126231,978959
Florence,1805,Camden,Oneida,"1,284",54.922,0.094,"43.418917, -75.739740",3606526297,978960
Florida,1793,Mohawk,Montgomery,"2,667",50.132,1.274,"42.894991, -74.201025",3605726308,978961
Floyd,1796,Steuben,Oneida,"3,733",34.616,0.175,"43.239952, -75.324083",3606526385,978962
Forestburgh,1837,Mamakating and Thompson,Sullivan,808,54.781,1.532,"41.561802, -74.709618",3610526528,978963
Forestport,1869,Remsen,Oneida,"1,477",76.915,1.985,"43.496073, -75.147819",3606526627,978964
Fort Ann,1788,Westfield township,Washington,"5,812",108.999,1.780,"43.460929, -73.529859",3611526715,978965
Fort Covington,1817,Constable,Franklin,"1,531",36.734,0.000,"44.950102, -74.489629",3603326737,978966
Fort Edward,1818,Argyle and Greenwich,Washington,"5,991",26.630,0.796,"43.230604, -73.559186",3611526781,978967
Fowler,1816,Rossie and Russell,St. Lawrence,"2,142",59.325,1.368,"44.275595, -75.403237",3608927100,978968
Frankfort,1796,German Flatts,Herkimer,"7,011",36.421,0.106,"43.040732, -75.136940",3604327199,978969
Franklin,1793,Harpersfield,Delaware,"2,288",81.249,0.278,"42.330395, -75.110553",3602527232,978970
Franklin,1836,Bellmont,Franklin,"1,150",169.827,5.395,"44.520107, -74.069770",3603327243,978971
Franklinville,1812,Olean,Cattaraugus,"2,802",51.812,0.173,"42.304423, -78.497988",3600927342,978972
Freedom,1820,Ischua,Cattaraugus,"2,261",40.987,0.329,"42.471187, -78.377562",3600927441,978973
Freetown,1818,Cincinnatus,Cortland,767,25.486,0.142,"42.520267, -76.023217",3602327496,978974
Fremont,1854,"Dansville, Hornellsville, Howard and Wayland",Steuben,894,32.036,0.154,"42.394696, -77.610140",3610127551,978975
Fremont,1851,Callicoon,Sullivan,"1,161",50.186,1.046,"41.873711, -75.033526",3610527573,978976
French Creek,1829,Clymer,Chautauqua,"1,007",36.259,0.020,"42.041719, -79.711489",3601327606,978977
Friendship,1815,Caneadea,Allegany,"1,944",36.215,0.013,"42.214944, -78.130551",3600327705,978978
Fulton,1828,Middleburgh,Schoharie,"1,199",64.978,0.027,"42.589134, -74.451470",3609527826,978980
Gaines,1816,Ridgeway,Orleans,"3,226",34.419,0.040,"43.275759, -78.198050",3607327958,978981
Gainesville,1814,Warsaw,Wyoming,"2,009",35.570,0.138,"42.650692, -78.125147",3612127980,978982
Galen,1812,Junius,Wayne,"4,415",59.477,0.581,"43.065096, -76.880324",3611728013,978983
Gallatin,1830,Ancram,Columbia,"1,628",39.111,0.521,"42.060607, -73.713148",3602128068,978984
Galway,1788,Ballston,Saratoga,"3,525",43.824,1.180,"43.032192, -74.032079",3609128112,978985
Gardiner,1853,"Denning, New Paltz and Rochester",Ulster,"5,610",43.435,0.510,"41.691551, -74.188198",3611128255,978986
Gates,1802,,Monroe,"29,167",15.200,0.082,"43.150766, -77.713533",3605528442,978987
Geddes,1848,Salina,Onondaga,"17,088",9.156,3.104,"43.076667, -76.224544",3606728519,978988
Genesee,1830,Cuba,Allegany,"1,633",36.239,0.048,"42.045172, -78.248301",3600328563,978989
Genesee Falls,1846,Pike and Portage,Wyoming,402,15.615,0.086,"42.572554, -78.063441",3612128596,978990
Geneseo,1789,,Livingston,"10,234",43.944,1.198,"42.806633, -77.779568",3605128629,978991
Geneva,1872,Seneca,Ontario,"3,473",19.091,0.007,"42.833325, -77.005486",3606928651,978993
Genoa,1789,,Cayuga,"1,815",39.598,3.565,"42.654397, -76.572265",3601128673,978994
Georgetown,1815,DeRuyter,Madison,648,40.078,0.099,"42.786643, -75.743698",3605328695,978995
German,1806,DeRuyter,Chenango,308,28.408,0.031,"42.503771, -75.824223",3601728739,978996
German Flatts,1788,Kingsland Distirct,Herkimer,"12,263",33.695,0.499,"42.987513, -74.983679",3604328750,978997
Germantown,1788,German Camp (East Camp) District,Columbia,"1,936",12.103,1.819,"42.136779, -73.870489",3602128772,978998
Gerry,1812,Pomfret,Chautauqua,"1,782",36.125,0.018,"42.218376, -79.240020",3601328838,978999
Ghent,1818,"Chatham, Claverack and Kinderhook",Columbia,"5,303",45.132,0.268,"42.314987, -73.649029",3602128871,979000
Gilboa,1848,Blenheim and Broome,Schoharie,"1,111",57.800,1.576,"42.431126, -74.454342",3609528981,979001
Glen,1823,Charleston,Montgomery,"2,536",38.620,0.706,"42.900899, -74.351214",3605729047,979002
Glenville,1820,Schenectady,Schenectady,"29,326",49.186,1.490,"42.888252, -73.988700",3609329366,979005
Gorham,1789,,Ontario,"4,106",48.854,4.315,"42.797135, -77.197164",3606929531,979007
Goshen,1788,Goshen Precinct,Orange,"14,571",43.642,0.290,"41.381005, -74.352471",3607129553,979008
Gouverneur,1810,Oswegatchie,St. Lawrence,"6,551",71.217,1.074,"44.355092, -75.489810",3608929608,979009
Grafton,1807,Petersburgh and Troy,Rensselaer,"2,051",44.721,1.241,"42.764501, -73.456397",3608329674,979010
Granby,1818,Hannibal and Lysander,Oswego,"6,520",44.713,1.730,"43.289808, -76.441694",3607529729,979011
Grand Island,1852,Tonawanda,Erie,"21,389",28.273,5.020,"43.017901, -78.962657",3602929828,979012
Granger,1838,Grove,Allegany,519,31.938,0.100,"42.479746, -78.011050",3600329905,979013
Granville,1788,Granville township,Washington,"6,215",55.618,0.500,"43.422001, -73.306019",3611530037,979014
Great Valley,1818,Olean,Cattaraugus,"1,991",49.635,0.036,"42.200337, -78.637510",3600930257,979015
Greece,1822,Gates,Monroe,"96,926",47.518,3.875,"43.250347, -77.700518",3605530290,979016
Green Island,1896,Watervliet,Albany,"2,934",0.747,0.186,"42.747870, -73.692595",3600130532,979020
Greenburgh,1788,,Westchester,"95,397",30.309,5.805,"41.029573, -73.842741",3611930367,979017
Greene,1798,Jericho and Union,Chenango,"5,296",75.077,0.542,"42.308164, -75.753974",3601730422,979018
Greenfield,1793,Ballston and Saratoga,Saratoga,"8,004",67.388,0.299,"43.137999, -73.872299",3609130444,979019
Greenport,1837,Hudson,Columbia,"4,473",18.607,1.880,"42.230076, -73.795559",3602130565,979021
Greenville,1803,Coxsackie and Freehold,Greene,"3,741",38.788,0.296,"42.397012, -74.014683",3603930620,979022
Greenville,1853,Minisink,Orange,"4,689",30.015,0.484,"41.373315, -74.599045",3607130631,979023
Greenwich,1803,Argyle,Washington,"4,868",43.663,0.598,"43.147517, -73.475886",3611530686,979024
Greenwood,1827,Canisteo and Troupsburg,Steuben,777,41.339,0.007,"42.147107, -77.662020",3610130741,979025
Greig,1828,Watson,Lewis,"1,179",93.011,1.354,"43.697077, -75.194701",3604930796,979026
Groton,1817,Locke,Tompkins,"5,746",49.406,0.133,"42.583430, -76.359860",3610930972,979027
Grove,1827,Nunda,Allegany,489,33.366,0.335,"42.479522, -77.893852",3600330994,979028
Groveland,1789,,Livingston,"2,316",39.129,0.725,"42.709642, -77.768727",3605131016,979029
Guilderland,1803,Watervliet,Albany,"36,848",57.902,0.885,"42.706657, -73.962280",3600131104,979030
Guilford,1813,Oxford,Chenango,"2,741",61.716,0.244,"42.402046, -75.450687",3601731148,979031
Hadley,1801,Greenfield and Northumberland,Saratoga,"1,976",39.705,1.380,"43.337476, -73.905955",3609131269,979032
Hague,1807,Bolton,Warren,633,63.760,15.859,"43.690560, -73.549746",3611331335,979033
Halcott,1851,Lexington,Greene,249,23.041,0.000,"42.220267, -74.476398",3603931379,979034
Halfmoon,1788,Halfmoon district,Saratoga,"25,662",32.580,1.050,"42.860715, -73.730728",3609131489,979035
Hamburg,1812,Willink,Erie,"60,085",41.321,0.028,"42.739160, -78.857134",3602931654,979036
Hamden,1825,Delhi and Walton,Delaware,"1,137",59.930,0.269,"42.201381, -74.981064",3602531698,979037
Hamilton,1795,Paris,Madison,"6,379",41.339,0.116,"42.792526, -75.489362",3605331720,979038
Hamlin,1852,Clarkson,Monroe,"8,725",43.468,1.122,"43.322306, -77.919742",3605531797,979039
Hammond,1827,Morristown and Rossie,St. Lawrence,"1,258",62.197,15.709,"44.438757, -75.726453",3608931841,979040
Hampton,1788,Hampton township,Washington,857,22.242,0.348,"43.551067, -73.290832",3611531885,979041
Hamptonburgh,1830,"Blooming Grove, Goshen and Montgomery",Orange,"5,489",26.758,0.211,"41.449335, -74.244749",3607131907,979042
Hancock,1806,Colchester,Delaware,"2,764",158.822,2.994,"41.956369, -75.182164",3602531951,979043
Hannibal,1806,Lysander,Oswego,"4,525",44.655,0.171,"43.310917, -76.549843",3607532028,979044
Hanover,1812,Pomfret,Chautauqua,"6,972",49.178,0.284,"42.488023, -79.120703",3601332050,979045
Hardenburgh,1859,Denning and Shandaken,Ulster,221,80.787,0.235,"42.049037, -74.621147",3611132116,979046
Harford,1845,Virgil,Cortland,876,24.152,0.023,"42.437149, -76.206229",3602332160,979047
Harmony,1816,Chautauqua,Chautauqua,"2,121",45.400,0.161,"42.049553, -79.458099",3601332248,979048
Harpersfield,1788,,Delaware,"1,442",42.021,0.267,"42.448423, -74.703743",3602532281,979049
Harrietstown,1841,Duane,Franklin,"5,254",196.866,16.814,"44.218046, -74.206563",3603332314,979050
Harrisburg,1803,"Champion, Lowville and Mexico",Lewis,480,39.882,0.028,"43.836648, -75.665737",3604932358,979051
Harrison,1788,,Westchester,"28,218",16.766,0.603,"41.026444, -73.723707",3611932413,979052
Hartford,1793,Westfield,Washington,"2,193",43.384,0.105,"43.355737, -73.413156",3611532457,979053
Hartland,1812,Cambria,Niagara,"3,874",52.378,0.037,"43.258139, -78.554677",3606332490,979054
Hartsville,1844,Hornellsville,Steuben,558,36.143,0.056,"42.222372, -77.660191",3610132567,979055
Hartwick,1802,Otsego,Otsego,"1,952",40.082,0.342,"42.643462, -75.016771",3607732589,979056
Hastings,1825,Constantia,Oswego,"9,342",45.645,0.352,"43.320387, -76.156606",3607532688,979057
Haverstraw,1788,Haverstraw Precinct,Rockland,"39,087",22.155,5.260,"41.202899, -74.039051",3608732765,979058
Hebron,1788,Hebron township,Washington,"1,786",56.108,0.310,"43.258464, -73.349096",3611533040,979059
Hector,1802,Ovid,Schuyler,"4,895",102.369,10.214,"42.463533, -76.783953",3609733073,979060
Hempstead,1788,South Hempstead Patent,Nassau,"793,409",118.587,73.000,"40.633959, -73.609100",3605934000,979061
Henderson,1806,Ellisburg,Jefferson,"1,438",41.180,11.756,"43.855211, -76.180197",3604534055,979062
Henrietta,1818,Pittsford,Monroe,"47,096",35.351,0.296,"43.054319, -77.640100",3605534099,979063
Herkimer,1788,German Flatts Precinct,Herkimer,"9,566",31.662,0.566,"43.061160, -75.000618",3604334132,979064
Hermon,1830,De Kalb and Edwards,St. Lawrence,"1,074",53.15,1.08,"44.466944, -75.229167",3608934176,979065
Highland,1853,Lumberland,Sullivan,"2,196",50.056,1.867,"41.567366, -74.886519",3610534473,979066
Highlands,1872,Cornwall,Orange,"12,939",30.410,3.060,"41.369865, -74.005885",3607134550,979067
Hillsdale,1788,Hillsdale District,Columbia,"1,831",47.724,0.164,"42.229282, -73.521482",3602134748,979068
Hinsdale,1820,Olean,Cattaraugus,"2,113",38.731,0.042,"42.166750, -78.372348",3600934946,979069
Holland,1818,Willink,Erie,"3,281",35.790,0.036,"42.670462, -78.524234",3602935122,979070
Homer,1794,,Cortland,"6,293",50.195,0.461,"42.662050, -76.170167",3602335287,979071
Hoosick,1788,Hoosick district,Rensselaer,"6,711",63.032,0.113,"42.876802, -73.351525",3608335463,979072
Hope,1818,Wells,Hamilton,413,40.703,0.933,"43.323352, -74.234765",3604135496,979073
Hopewell,1822,Gorham,Ontario,"3,931",35.676,0.020,"42.893493, -77.195885",3606935551,979074
Hopkinton,1805,Massena,St. Lawrence,"1,105",185.340,1.704,"44.536665, -74.661131",3608935595,979075
Horicon,1838,Bolton and Hague,Warren,"1,471",65.767,6.100,"43.718094, -73.706078",3611335639,979076
Hornby,1826,Painted Post,Steuben,"1,684",40.850,0.038,"42.239541, -77.026669",3610135661,979077
Hornellsville,1820,Canisteo,Steuben,"4,034",43.325,0.216,"42.334445, -77.677087",3610135683,979079
Horseheads,1835,Chemung and Elmira,Chemung,"19,374",35.606,0.314,"42.157711, -76.778875",3601535705,979080
Hounsfield,1806,Watertown,Jefferson,"3,281",48.915,71.488,"43.908879, -76.307152",3604535782,979081
Howard,1812,Bath and Dansville,Steuben,"1,389",60.546,0.220,"42.338600, -77.514480",3610135837,979082
Hume,1822,Pike,Allegany,"2,073",37.890,0.431,"42.482162, -78.121765",3600336112,979084
Humphrey,1836,Burton,Cattaraugus,703,37.136,0.017,"42.231079, -78.497261",3600936123,979085
Hunter,1813,Windham,Greene,"3,035",90.419,0.322,"42.165514, -74.152362",3603936178,979086
Huntington,1788,Huntington Patent,Suffolk,"204,127",94.123,42.988,"40.884089, -73.376761",3610337000,979087
Hurley,1788,Hurley Precinct,Ulster,"6,178",29.911,6.056,"41.958860, -74.122769",3611137143,979088
Huron,1826,Wolcott,Wayne,"1,872",39.392,3.710,"43.246559, -76.895091",3611737165,979089
Hyde Park,1821,Clinton,Dutchess,"21,021",36.663,3.195,"41.813313, -73.895463",3602737209,979090
Independence,1821,Alfred,Allegany,"1,085",34.484,0.005,"42.043602, -77.794465",3600337297,979091
Indian Lake,1858,"Gilman, Long Lake and Wells",Hamilton,"1,363",251.800,14.439,"43.806379, -74.417665",3604137374,979092
Inlet,1901,Morehouse,Hamilton,355,62.195,4.176,"43.721790, -74.714836",3604137495,979093
Ira,1821,Cato,Cayuga,"2,142",34.795,0.103,"43.209261, -76.530923",3601137660,979094
